Date,Open,Close,High,Low,Volume
22-Nov-17,173.360001,174.960007,175,173.050003,25588900
24-Nov-17,175.100006,174.970001,175.5,174.649994,14026700
27-Nov-17,175.050003,174.089996,175.080002,173.339996,20716800
28-Nov-17,174.300003,173.070007,174.869995,171.860001,26428800
29-Nov-17,172.630005,169.479996,172.919998,167.160004,41666400
30-Nov-17,170.429993,171.850006,172.139999,168.440002,41527200
1-Dec-17,169.949997,171.050003,171.669998,168.5,39759300
4-Dec-17,172.479996,169.800003,172.619995,169.630005,32542400
5-Dec-17,169.059998,169.639999,171.520004,168.399994,27350200
6-Dec-17,167.5,169.009995,170.199997,166.460007,28560000
7-Dec-17,169.029999,169.320007,170.440002,168.910004,25673300
8-Dec-17,170.490005,169.369995,171,168.820007,23355200
11-Dec-17,169.199997,172.669998,172.889999,168.789993,35273800
12-Dec-17,172.149994,171.699997,172.389999,171.460007,19409200
13-Dec-17,172.5,172.270004,173.539993,172,23818400
14-Dec-17,172.399994,172.220001,173.130005,171.649994,20476500
15-Dec-17,173.630005,173.970001,174.169998,172.460007,40169300
18-Dec-17,174.880005,176.419998,177.199997,174.860001,29421100
19-Dec-17,175.029999,174.539993,175.389999,174.089996,27436400
20-Dec-17,174.869995,174.350006,175.419998,173.25,23475600
21-Dec-17,174.169998,175.009995,176.020004,174.100006,20949900
22-Dec-17,174.679993,175.009995,175.419998,174.5,16349400
26-Dec-17,170.800003,170.570007,171.470001,169.679993,33185500
27-Dec-17,170.100006,170.600006,170.779999,169.710007,21498200
28-Dec-17,171,171.080002,171.850006,170.479996,16480200
29-Dec-17,170.520004,169.229996,170.589996,169.220001,25999900
2-Jan-18,170.160004,172.259995,172.300003,169.259995,25555900
3-Jan-18,172.529999,172.229996,174.550003,171.960007,29517900
4-Jan-18,172.539993,173.029999,173.470001,172.080002,22434600
5-Jan-18,173.440002,175,175.369995,173.050003,23660000
8-Jan-18,174.350006,174.350006,175.610001,173.929993,20567800
9-Jan-18,174.550003,174.330002,175.059998,173.410004,21584000
10-Jan-18,173.160004,174.289993,174.300003,173,23959900
11-Jan-18,174.589996,175.279999,175.490005,174.490005,18667700
12-Jan-18,176.179993,177.089996,177.360001,175.649994,25418100
16-Jan-18,177.899994,176.190002,179.389999,176.139999,29565900
17-Jan-18,176.149994,179.100006,179.25,175.070007,34386800
18-Jan-18,179.369995,179.259995,180.100006,178.25,31193400
19-Jan-18,178.610001,178.460007,179.580002,177.410004,32425100
22-Jan-18,177.300003,177,177.779999,176.600006,27108600
23-Jan-18,177.300003,177.039993,179.440002,176.820007,32689100
24-Jan-18,177.25,174.220001,177.300003,173.199997,51105100
25-Jan-18,174.509995,171.110001,174.949997,170.529999,41529000
26-Jan-18,172,171.509995,172,170.059998,39143000
29-Jan-18,170.160004,167.960007,170.160004,167.070007,50640400
30-Jan-18,165.529999,166.970001,167.369995,164.699997,46048200
31-Jan-18,166.869995,167.429993,168.440002,166.5,32478900
1-Feb-18,167.169998,167.779999,168.619995,166.759995,47230800
2-Feb-18,166,160.5,166.800003,160.100006,86593800
5-Feb-18,159.100006,156.490005,163.880005,156,72738500
6-Feb-18,154.830002,163.029999,163.720001,154,68243800
7-Feb-18,163.089996,159.539993,163.399994,159.070007,51608600
8-Feb-18,160.289993,155.149994,161,155.029999,54390500
9-Feb-18,157.070007,156.410004,157.889999,150.240005,70672600
12-Feb-18,158.5,162.710007,163.889999,157.509995,60819500
13-Feb-18,161.949997,164.339996,164.75,161.649994,32549200
14-Feb-18,163.039993,167.369995,167.539993,162.880005,40644900
15-Feb-18,169.789993,172.990005,173.089996,169,51147200
16-Feb-18,172.360001,172.429993,174.820007,171.770004,40176100
20-Feb-18,172.050003,171.850006,174.259995,171.419998,33930500
21-Feb-18,172.830002,171.070007,174.119995,171.009995,37471600
22-Feb-18,171.800003,172.5,173.949997,171.710007,30991900
23-Feb-18,173.669998,175.5,175.649994,173.539993,33812400
26-Feb-18,176.350006,178.970001,179.389999,176.210007,38162200
27-Feb-18,179.100006,178.389999,180.479996,178.160004,38928100
28-Feb-18,179.259995,178.119995,180.619995,178.050003,37782100
1-Mar-18,178.539993,175,179.779999,172.660004,48802000
2-Mar-18,172.800003,176.210007,176.300003,172.449997,38454000
5-Mar-18,175.210007,176.820007,177.740005,174.520004,28401400
6-Mar-18,177.910004,176.669998,178.25,176.130005,23788500
7-Mar-18,174.940002,175.029999,175.850006,174.270004,31703500
8-Mar-18,175.479996,176.940002,177.119995,175.070007,23774100
9-Mar-18,177.960007,179.979996,180,177.389999,32185200
12-Mar-18,180.289993,181.720001,182.389999,180.210007,32207100
13-Mar-18,182.589996,179.970001,183.5,179.240005,31693500
14-Mar-18,180.320007,178.440002,180.520004,177.809998,29368400
15-Mar-18,178.5,178.649994,180.240005,178.070007,22743800
16-Mar-18,178.649994,178.020004,179.119995,177.619995,39404700
19-Mar-18,177.320007,175.300003,177.470001,173.660004,33446800
